"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"1989","12","12035","Flagler County (FL)","NA","2,449","1,945","2,953","1,945 to 2,953","8.4","6.7","10.2","6.7 to 10.2","NA","952","750","1,154","750 to 1,154","17.0","13.4","20.6","13.4 to 20.6","NA","577","445","710","445 to 710","14.4","11.1","17.7","11.1 to 17.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,618","$21,360","$25,864","$21,360 to $25,864"
"2017","12","12037","Franklin County (FL)","10,069","2,141","1,655","2,627","1,655 to 2,627","21.3","16.5","26.1","16.5 to 26.1","1,848","629","473","785","473 to 785","34.0","25.6","42.4","25.6 to 42.4","1,337","440","322","558","322 to 558","32.9","24.1","41.7","24.1 to 41.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,158","$35,888","$44,428","$35,888 to $44,428"
"2016","12","12037","Franklin County (FL)","10,124","2,337","1,855","2,819","1,855 to 2,819","23.1","18.3","27.9","18.3 to 27.9","1,899","682","522","842","522 to 842","35.9","27.5","44.3","27.5 to 44.3","1,366","470","353","587","353 to 587","34.4","25.8","43.0","25.8 to 43.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,479","$33,898","$41,060","$33,898 to $41,060"
"2015","12","12037","Franklin County (FL)","9,922","2,351","1,825","2,877","1,825 to 2,877","23.7","18.4","29.0","18.4 to 29.0","1,889","727","573","881","573 to 881","38.5","30.4","46.6","30.4 to 46.6","1,400","505","387","623","387 to 623","36.1","27.6","44.6","27.6 to 44.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,220","$34,623","$41,817","$34,623 to $41,817"
"2014","12","12037","Franklin County (FL)","9,902","2,507","1,953","3,061","1,953 to 3,061","25.3","19.7","30.9","19.7 to 30.9","1,930","716","551","881","551 to 881","37.1","28.6","45.6","28.6 to 45.6","1,422","502","383","621","383 to 621","35.3","26.9","43.7","26.9 to 43.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,788","$33,631","$39,945","$33,631 to $39,945"
"2013","12","12037","Franklin County (FL)","9,808","2,545","2,010","3,080","2,010 to 3,080","25.9","20.4","31.4","20.4 to 31.4","1,886","733","570","896","570 to 896","38.9","30.2","47.6","30.2 to 47.6","1,372","507","382","632","382 to 632","37.0","27.9","46.1","27.9 to 46.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,471","$30,436","$36,506","$30,436 to $36,506"
"2012","12","12037","Franklin County (FL)","9,844","2,407","1,911","2,903","1,911 to 2,903","24.5","19.5","29.5","19.5 to 29.5","1,899","671","525","817","525 to 817","35.3","27.6","43.0","27.6 to 43.0","1,356","454","349","559","349 to 559","33.5","25.8","41.2","25.8 to 41.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,868","$35,727","$40,009","$35,727 to $40,009"
"2011","12","12037","Franklin County (FL)","9,786","2,180","1,706","2,654","1,706 to 2,654","22.3","17.5","27.1","17.5 to 27.1","1,897","583","446","720","446 to 720","30.7","23.5","37.9","23.5 to 37.9","1,325","393","291","495","291 to 495","29.7","22.0","37.4","22.0 to 37.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,288","$31,771","$38,805","$31,771 to $38,805"
"2010","12","12037","Franklin County (FL)","9,743","2,357","1,858","2,856","1,858 to 2,856","24.2","19.1","29.3","19.1 to 29.3","1,946","681","529","833","529 to 833","35.0","27.2","42.8","27.2 to 42.8","1,341","441","334","548","334 to 548","32.9","24.9","40.9","24.9 to 40.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,522","$31,397","$37,647","$31,397 to $37,647"
"2009","12","12037","Franklin County (FL)","9,307","2,147","1,614","2,679","1,614 to 2,679","23.1","17.3","28.8","17.3 to 28.8","1,844","594","457","731","457 to 731","32.2","24.8","39.6","24.8 to 39.6","1,262","395","301","489","301 to 489","31.3","23.9","38.7","23.9 to 38.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,956","$30,425","$37,487","$30,425 to $37,487"
"2008","12","12037","Franklin County (FL)","9,329","2,155","1,732","2,577","1,732 to 2,577","23.1","18.6","27.6","18.6 to 27.6","1,932","622","488","757","488 to 757","32.2","25.3","39.2","25.3 to 39.2","1,342","380","290","470","290 to 470","28.3","21.6","35.0","21.6 to 35.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,787","$31,350","$38,223","$31,350 to $38,223"
"2007","12","12037","Franklin County (FL)","9,472","1,764","1,367","2,161","1,367 to 2,161","18.6","14.4","22.8","14.4 to 22.8","1,962","572","434","711","434 to 711","29.2","22.1","36.2","22.1 to 36.2","1,374","357","266","448","266 to 448","26.0","19.4","32.6","19.4 to 32.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,182","$31,822","$38,542","$31,822 to $38,542"
"2006","12","12037","Franklin County (FL)","9,697","1,798","1,413","2,182","1,413 to 2,182","18.5","14.6","22.5","14.6 to 22.5","2,041","597","471","722","471 to 722","29.3","23.1","35.4","23.1 to 35.4","1,434","388","300","476","300 to 476","27.1","20.9","33.2","20.9 to 33.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,000","$29,997","$36,003","$29,997 to $36,003"
"2005","12","12037","Franklin County (FL)","9,603","1,756","1,419","2,094","1,419 to 2,094","18.3","14.8","21.8","14.8 to 21.8","2,063","549","425","672","425 to 672","26.6","20.6","32.6","20.6 to 32.6","1,478","365","277","453","277 to 453","24.7","18.7","30.7","18.7 to 30.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,960","$28,073","$33,848","$28,073 to $33,848"
"2004","12","12037","Franklin County (FL)","9,649","1,299","992","1,606","992 to 1,606","13.5","10.3","16.6","10.3 to 16.6","2,099","419","304","533","304 to 533","19.9","14.5","25.4","14.5 to 25.4","1,480","288","198","378","198 to 378","19.5","13.3","25.6","13.3 to 25.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,678","$28,774","$32,708","$28,774 to $32,708"
"2003","12","12037","Franklin County (FL)","9,575","1,409","1,079","1,739","1,079 to 1,739","14.7","11.3","18.2","11.3 to 18.2","2,020","465","343","587","343 to 587","23.0","17.0","29.0","17.0 to 29.0","1,458","328","231","425","231 to 425","22.5","15.8","29.2","15.8 to 29.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,896","$27,117","$30,790","$27,117 to $30,790"
"2002","12","12037","Franklin County (FL)","9,470","1,436","1,097","1,775","1,097 to 1,775","15.2","11.6","18.7","11.6 to 18.7","1,994","403","297","509","297 to 509","20.2","14.9","25.5","14.9 to 25.5","1,438","313","221","405","221 to 405","21.8","15.4","28.2","15.4 to 28.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,862","$25,988","$29,871","$25,988 to $29,871"
"2001","12","12037","Franklin County (FL)","9,478","1,679","1,300","2,058","1,300 to 2,058","17.7","13.7","21.7","13.7 to 21.7","2,013","560","420","699","420 to 699","27.8","20.9","34.7","20.9 to 34.7","1,461","395","283","507","283 to 507","27.0","19.3","34.7","19.3 to 34.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,107","$25,298","$29,046","$25,298 to $29,046"
"2000","12","12037","Franklin County (FL)","9,440","1,543","1,202","1,885","1,202 to 1,885","16.3","12.7","20.0","12.7 to 20.0","1,995","518","396","641","396 to 641","26.0","19.8","32.1","19.8 to 32.1","1,428","361","265","457","265 to 457","25.3","18.5","32.0","18.5 to 32.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,746","$25,733","$29,916","$25,733 to $29,916"
"1999","12","12037","Franklin County (FL)","9,371","1,575","1,188","1,962","1,188 to 1,962","16.8","12.7","20.9","12.7 to 20.9","1,984","486","363","609","363 to 609","24.5","18.3","30.7","18.3 to 30.7","1,418","353","254","452","254 to 452","24.9","17.9","31.8","17.9 to 31.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,045","$24,317","$27,897","$24,317 to $27,897"
"1998","12","12037","Franklin County (FL)","9,818","1,809","1,400","2,217","1,400 to 2,217","18.4","14.3","22.6","14.3 to 22.6","2,461","617","452","783","452 to 783","25.1","18.4","31.8","18.4 to 31.8","1,833","525","376","674","376 to 674","28.6","20.5","36.8","20.5 to 36.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$25,799","$22,634","$28,947","$22,634 to $28,947"
"1997","12","12037","Franklin County (FL)","NA","1,880","1,449","2,311","1,449 to 2,311","19.0","14.7","23.4","14.7 to 23.4","NA","628","464","792","464 to 792","25.2","18.6","31.7","18.6 to 31.7","NA","511","370","652","370 to 652","27.2","19.7","34.8","19.7 to 34.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$24,088","$20,931","$27,228","$20,931 to $27,228"
"1996","12","12037","Franklin County (FL)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1995","12","12037","Franklin County (FL)","NA","2,064","1,629","2,499","1,629 to 2,499","20.8","16.4","25.1","16.4 to 25.1","NA","785","607","963","607 to 963","30.5","23.6","37.5","23.6 to 37.5","NA","539","411","667","411 to 667","28.5","21.7","35.2","21.7 to 35.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,586","$20,377","$26,777","$20,377 to $26,777"
"1993","12","12037","Franklin County (FL)","NA","2,025","1,611","2,439","1,611 to 2,439","21.1","16.8","25.4","16.8 to 25.4","NA","703","553","854","553 to 854","28.6","22.5","34.7","22.5 to 34.7","NA","457","353","562","353 to 562","25.7","19.8","31.5","19.8 to 31.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$19,853","$17,580","$22,113","$17,580 to $22,113"
"1989","12","12037","Franklin County (FL)","NA","2,113","1,682","2,544","1,682 to 2,544","23.7","18.9","28.6","18.9 to 28.6","NA","778","605","951","605 to 951","36.9","28.7","45.1","28.7 to 45.1","NA","497","379","615","379 to 615","32.9","25.1","40.7","25.1 to 40.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$15,260","$12,948","$17,559","$12,948 to $17,559"
"2017","12","12039","Gadsden County (FL)","43,252","9,994","8,278","11,710","8,278 to 11,710","23.1","19.1","27.1","19.1 to 27.1","10,032","3,776","3,082","4,470","3,082 to 4,470","37.6","30.7","44.5","30.7 to 44.5","7,321","2,876","2,351","3,401","2,351 to 3,401","39.3","32.1","46.5","32.1 to 46.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,084","$35,022","$41,146","$35,022 to $41,146"
"2016","12","12039","Gadsden County (FL)","43,177","8,906","7,249","10,563","7,249 to 10,563","20.6","16.8","24.4","16.8 to 24.4","10,101","3,411","2,662","4,160","2,662 to 4,160","33.8","26.4","41.2","26.4 to 41.2","7,389","2,333","1,749","2,917","1,749 to 2,917","31.6","23.7","39.5","23.7 to 39.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,865","$38,103","$43,627","$38,103 to $43,627"
"2015","12","12039","Gadsden County (FL)","43,205","10,596","8,708","12,484","8,708 to 12,484","24.5","20.1","28.9","20.1 to 28.9","10,071","3,872","3,148","4,596","3,148 to 4,596","38.4","31.2","45.6","31.2 to 45.6","7,334","2,725","2,168","3,282","2,168 to 3,282","37.2","29.6","44.8","29.6 to 44.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,637","$33,402","$39,872","$33,402 to $39,872"
"2014","12","12039","Gadsden County (FL)","43,516","11,119","9,468","12,770","9,468 to 12,770","25.6","21.8","29.4","21.8 to 29.4","10,170","4,037","3,355","4,719","3,355 to 4,719","39.7","33.0","46.4","33.0 to 46.4","7,354","2,787","2,295","3,279","2,295 to 3,279","37.9","31.2","44.6","31.2 to 44.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,849","$32,724","$38,974","$32,724 to $38,974"
"2013","12","12039","Gadsden County (FL)","43,758","11,060","9,413","12,707","9,413 to 12,707","25.3","21.5","29.1","21.5 to 29.1","10,348","4,096","3,391","4,801","3,391 to 4,801","39.6","32.8","46.4","32.8 to 46.4","7,442","3,074","2,599","3,549","2,599 to 3,549","41.3","34.9","47.7","34.9 to 47.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,348","$31,424","$37,272","$31,424 to $37,272"
"2012","12","12039","Gadsden County (FL)","44,086","11,754","10,110","13,398","10,110 to 13,398","26.7","23.0","30.4","23.0 to 30.4","10,718","4,280","3,610","4,950","3,610 to 4,950","39.9","33.7","46.1","33.7 to 46.1","7,614","2,902","2,386","3,418","2,386 to 3,418","38.1","31.3","44.9","31.3 to 44.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,854","$33,158","$38,550","$33,158 to $38,550"
"2011","12","12039","Gadsden County (FL)","44,656","11,267","9,556","12,978","9,556 to 12,978","25.2","21.4","29.0","21.4 to 29.0","10,929","4,097","3,363","4,831","3,363 to 4,831","37.5","30.8","44.2","30.8 to 44.2","7,715","2,826","2,285","3,367","2,285 to 3,367","36.6","29.6","43.6","29.6 to 43.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,154","$31,106","$37,202","$31,106 to $37,202"
"2010","12","12039","Gadsden County (FL)","44,949","10,678","8,828","12,528","8,828 to 12,528","23.8","19.7","27.9","19.7 to 27.9","11,066","3,624","2,852","4,396","2,852 to 4,396","32.7","25.7","39.7","25.7 to 39.7","7,868","2,549","2,020","3,078","2,020 to 3,078","32.4","25.7","39.1","25.7 to 39.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,704","$32,406","$39,002","$32,406 to $39,002"
"2009","12","12039","Gadsden County (FL)","43,971","11,422","9,628","13,216","9,628 to 13,216","26.0","21.9","30.1","21.9 to 30.1","11,149","4,040","3,382","4,697","3,382 to 4,697","36.2","30.3","42.1","30.3 to 42.1","7,549","2,704","2,250","3,158","2,250 to 3,158","35.8","29.8","41.8","29.8 to 41.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,570","$31,315","$37,826","$31,315 to $37,826"
"2008","12","12039","Gadsden County (FL)","43,986","11,681","9,922","13,440","9,922 to 13,440","26.6","22.6","30.6","22.6 to 30.6","11,315","4,139","3,438","4,840","3,438 to 4,840","36.6","30.4","42.8","30.4 to 42.8","7,775","2,302","1,821","2,783","1,821 to 2,783","29.6","23.4","35.8","23.4 to 35.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,316","$31,798","$36,834","$31,798 to $36,834"
"2007","12","12039","Gadsden County (FL)","43,663","11,079","9,287","12,871","9,287 to 12,871","25.4","21.3","29.5","21.3 to 29.5","11,342","3,807","3,116","4,498","3,116 to 4,498","33.6","27.5","39.7","27.5 to 39.7","7,700","2,403","1,915","2,891","1,915 to 2,891","31.2","24.9","37.5","24.9 to 37.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,322","$32,038","$38,605","$32,038 to $38,605"
"2006","12","12039","Gadsden County (FL)","43,466","8,550","7,078","10,022","7,078 to 10,022","19.7","16.3","23.1","16.3 to 23.1","11,399","3,154","2,548","3,761","2,548 to 3,761","27.7","22.4","33.0","22.4 to 33.0","7,959","2,144","1,699","2,589","1,699 to 2,589","26.9","21.3","32.5","21.3 to 32.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,136","$32,104","$38,168","$32,104 to $38,168"
"2005","12","12039","Gadsden County (FL)","43,062","7,605","6,281","8,928","6,281 to 8,928","17.7","14.6","20.7","14.6 to 20.7","11,801","2,999","2,366","3,631","2,366 to 3,631","25.4","20.1","30.8","20.1 to 30.8","8,174","2,062","1,595","2,529","1,595 to 2,529","25.2","19.5","30.9","19.5 to 30.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,246","$30,583","$35,909","$30,583 to $35,909"
"2004","12","12039","Gadsden County (FL)","43,435","6,878","5,292","8,465","5,292 to 8,465","15.8","12.2","19.5","12.2 to 19.5","12,003","2,724","2,002","3,447","2,002 to 3,447","22.7","16.7","28.7","16.7 to 28.7","8,189","1,801","1,252","2,350","1,252 to 2,350","22.0","15.3","28.7","15.3 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,070","$29,156","$33,109","$29,156 to $33,109"
"2003","12","12039","Gadsden County (FL)","43,081","7,768","5,985","9,551","5,985 to 9,551","18.0","13.9","22.2","13.9 to 22.2","11,936","3,119","2,331","3,908","2,331 to 3,908","26.1","19.5","32.7","19.5 to 32.7","8,269","2,147","1,535","2,759","1,535 to 2,759","26.0","18.6","33.4","18.6 to 33.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,814","$27,961","$31,789","$27,961 to $31,789"
"2002","12","12039","Gadsden County (FL)","42,723","7,782","6,009","9,556","6,009 to 9,556","18.2","14.1","22.4","14.1 to 22.4","11,765","2,851","2,140","3,563","2,140 to 3,563","24.2","18.2","30.3","18.2 to 30.3","8,283","1,995","1,434","2,556","1,434 to 2,556","24.1","17.3","30.9","17.3 to 30.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,598","$27,607","$31,734","$27,607 to $31,734"
"2001","12","12039","Gadsden County (FL)","42,606","8,222","6,423","10,020","6,423 to 10,020","19.3","15.1","23.5","15.1 to 23.5","11,731","3,178","2,415","3,942","2,415 to 3,942","27.1","20.6","33.6","20.6 to 33.6","8,311","2,101","1,525","2,677","1,525 to 2,677","25.3","18.3","32.2","18.3 to 32.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,630","$27,628","$31,777","$27,628 to $31,777"
"2000","12","12039","Gadsden County (FL)","42,885","8,015","6,302","9,728","6,302 to 9,728","18.7","14.7","22.7","14.7 to 22.7","11,815","3,069","2,368","3,770","2,368 to 3,770","26.0","20.0","31.9","20.0 to 31.9","8,354","2,032","1,509","2,555","1,509 to 2,555","24.3","18.1","30.6","18.1 to 30.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,650","$28,418","$33,057","$28,418 to $33,057"
"1999","12","12039","Gadsden County (FL)","42,963","8,357","6,463","10,252","6,463 to 10,252","19.5","15.0","23.9","15.0 to 23.9","11,917","3,198","2,428","3,967","2,428 to 3,967","26.8","20.4","33.3","20.4 to 33.3","8,573","2,383","1,745","3,021","1,745 to 3,021","27.8","20.4","35.2","20.4 to 35.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,707","$26,860","$30,680","$26,860 to $30,680"
"1998","12","12039","Gadsden County (FL)","41,733","9,995","7,872","12,117","7,872 to 12,117","23.9","18.9","29.0","18.9 to 29.0","13,566","4,441","3,403","5,478","3,403 to 5,478","32.7","25.1","40.4","25.1 to 40.4","10,259","3,316","2,457","4,175","2,457 to 4,175","32.3","23.9","40.7","23.9 to 40.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,355","$23,283","$29,410","$23,283 to $29,410"
"1997","12","12039","Gadsden County (FL)","NA","10,793","8,456","13,130","8,456 to 13,130","25.9","20.3","31.6","20.3 to 31.6","NA","4,401","3,384","5,418","3,384 to 5,418","32.3","24.8","39.8","24.8 to 39.8","NA","3,188","2,394","3,982","2,394 to 3,982","30.7","23.1","38.4","23.1 to 38.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$24,881","$21,774","$27,970","$21,774 to $27,970"
"1996","12","12039","Gadsden County (FL)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1995","12","12039","Gadsden County (FL)","NA","12,142","9,685","14,600","9,685 to 14,600","28.2","22.5","33.9","22.5 to 33.9","NA","5,492","4,370","6,613","4,370 to 6,613","38.5","30.7","46.4","30.7 to 46.4","NA","3,718","2,932","4,504","2,932 to 4,504","34.9","27.5","42.3","27.5 to 42.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,482","$20,391","$26,556","$20,391 to $26,556"
"1993","12","12039","Gadsden County (FL)","NA","12,077","9,616","14,538","9,616 to 14,538","29.2","23.2","35.1","23.2 to 35.1","NA","5,135","4,055","6,214","4,055 to 6,214","37.4","29.6","45.3","29.6 to 45.3","NA","3,494","2,706","4,282","2,706 to 4,282","34.7","26.9","42.6","26.9 to 42.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$20,710","$18,440","$22,967","$18,440 to $22,967"
"1989","12","12039","Gadsden County (FL)","NA","11,839","9,404","14,273","9,404 to 14,273","29.7","23.6","35.8","23.6 to 35.8","NA","4,686","3,651","5,721","3,651 to 5,721","37.7","29.4","46.1","29.4 to 46.1","NA","3,057","2,332","3,782","2,332 to 3,782","33.9","25.9","42.0","25.9 to 42.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$17,056","$14,755","$19,343","$14,755 to $19,343"
"2017","12","12041","Gilchrist County (FL)","16,651","2,675","2,067","3,283","2,067 to 3,283","16.1","12.4","19.8","12.4 to 19.8","3,569","871","650","1,092","650 to 1,092","24.4","18.2","30.6","18.2 to 30.6","2,544","632","464","800","464 to 800","24.8","18.2","31.4","18.2 to 31.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,880","$38,671","$47,089","$38,671 to $47,089"
"2016","12","12041","Gilchrist County (FL)","16,358","2,825","2,249","3,401","2,249 to 3,401","17.3","13.8","20.8","13.8 to 20.8","3,532","883","677","1,089","677 to 1,089","25.0","19.2","30.8","19.2 to 30.8","2,547","630","477","783","477 to 783","24.7","18.7","30.7","18.7 to 30.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,721","$37,477","$45,965","$37,477 to $45,965"
"2015","12","12041","Gilchrist County (FL)","16,182","3,102","2,473","3,731","2,473 to 3,731","19.2","15.3","23.1","15.3 to 23.1","3,507","1,036","834","1,238","834 to 1,238","29.5","23.7","35.3","23.7 to 35.3","2,628","744","586","902","586 to 902","28.3","22.3","34.3","22.3 to 34.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,342","$35,518","$43,166","$35,518 to $43,166"
"2014","12","12041","Gilchrist County (FL)","15,839","3,139","2,513","3,765","2,513 to 3,765","19.8","15.8","23.8","15.8 to 23.8","3,394","896","688","1,104","688 to 1,104","26.4","20.3","32.5","20.3 to 32.5","2,492","614","461","767","461 to 767","24.6","18.4","30.8","18.4 to 30.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,788","$36,872","$44,704","$36,872 to $44,704"
"2013","12","12041","Gilchrist County (FL)","15,724","3,446","2,843","4,049","2,843 to 4,049","21.9","18.1","25.7","18.1 to 25.7","3,350","1,080","889","1,271","889 to 1,271","32.2","26.5","37.9","26.5 to 37.9","2,483","771","622","920","622 to 920","31.1","25.1","37.1","25.1 to 37.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,854","$36,129","$43,579","$36,129 to $43,579"
"2012","12","12041","Gilchrist County (FL)","15,632","3,446","2,862","4,030","2,862 to 4,030","22.0","18.3","25.7","18.3 to 25.7","3,469","1,001","788","1,214","788 to 1,214","28.9","22.8","35.0","22.8 to 35.0","2,579","711","553","869","553 to 869","27.6","21.5","33.7","21.5 to 33.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,016","$34,449","$41,583","$34,449 to $41,583"
"2011","12","12041","Gilchrist County (FL)","15,816","3,078","2,403","3,753","2,403 to 3,753","19.5","15.2","23.8","15.2 to 23.8","3,526","1,035","801","1,269","801 to 1,269","29.4","22.8","36.0","22.8 to 36.0","2,623","716","544","888","544 to 888","27.3","20.7","33.9","20.7 to 33.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,046","$34,404","$41,688","$34,404 to $41,688"
"2010","12","12041","Gilchrist County (FL)","15,767","3,316","2,733","3,899","2,733 to 3,899","21.0","17.3","24.7","17.3 to 24.7","3,545","954","735","1,173","735 to 1,173","26.9","20.7","33.1","20.7 to 33.1","2,624","647","496","798","496 to 798","24.7","19.0","30.4","19.0 to 30.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,517","$34,904","$42,130","$34,904 to $42,130"
"2009","12","12041","Gilchrist County (FL)","15,668","2,819","2,207","3,431","2,207 to 3,431","18.0","14.1","21.9","14.1 to 21.9","3,763","899","699","1,100","699 to 1,100","23.9","18.6","29.2","18.6 to 29.2","2,782","615","466","764","466 to 764","22.1","16.8","27.5","16.8 to 27.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,139","$33,373","$40,905","$33,373 to $40,905"
"2008","12","12041","Gilchrist County (FL)","15,849","2,662","2,147","3,177","2,147 to 3,177","16.8","13.5","20.0","13.5 to 20.0","3,604","807","632","981","632 to 981","22.4","17.5","27.2","17.5 to 27.2","2,588","527","404","650","404 to 650","20.4","15.6","25.1","15.6 to 25.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,120","$33,559","$40,682","$33,559 to $40,682"
"2007","12","12041","Gilchrist County (FL)","15,672","2,407","1,865","2,950","1,865 to 2,950","15.4","11.9","18.8","11.9 to 18.8","3,641","788","596","981","596 to 981","21.6","16.4","26.9","16.4 to 26.9","2,621","498","369","627","369 to 627","19.0","14.1","23.9","14.1 to 23.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,383","$35,649","$43,117","$35,649 to $43,117"
"2006","12","12041","Gilchrist County (FL)","15,522","2,725","2,189","3,261","2,189 to 3,261","17.6","14.1","21.0","14.1 to 21.0","3,632","841","665","1,016","665 to 1,016","23.2","18.3","28.0","18.3 to 28.0","2,625","555","428","682","428 to 682","21.1","16.3","26.0","16.3 to 26.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,483","$33,185","$39,782","$33,185 to $39,782"
"2005","12","12041","Gilchrist County (FL)","15,006","2,063","1,650","2,475","1,650 to 2,475","13.7","11.0","16.5","11.0 to 16.5","3,595","736","568","904","568 to 904","20.5","15.8","25.2","15.8 to 25.2","2,653","552","416","688","416 to 688","20.8","15.7","26.0","15.7 to 26.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,286","$32,312","$38,259","$32,312 to $38,259"
