"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2007","00","00000","United States","293,744,043","38,052,247","37,829,283","38,275,211","37,829,283 to 38,275,211","13.0","12.9","13.0","12.9 to 13.0","72,665,911","13,097,100","12,981,173","13,213,027","12,981,173 to 13,213,027","18.0","17.9","18.2","17.9 to 18.2","51,904,411","8,499,844","8,419,720","8,579,968","8,419,720 to 8,579,968","16.4","16.2","16.5","16.2 to 16.5","20,348,501","4,229,120","4,178,842","4,279,398","4,178,842 to 4,279,398","20.8","20.5","21.0","20.5 to 21.0","$50,740","$50,665","$50,815","$50,665 to $50,815"
"2006","00","00000","United States","291,531,091","38,757,253","38,535,015","38,979,491","38,535,015 to 38,979,491","13.3","13.2","13.4","13.2 to 13.4","72,482,732","13,285,569","13,170,950","13,400,188","13,170,950 to 13,400,188","18.3","18.2","18.5","18.2 to 18.5","51,999,081","8,700,048","8,613,863","8,786,233","8,613,863 to 8,786,233","16.7","16.6","16.9","16.6 to 16.9","20,066,651","4,211,345","4,166,465","4,256,225","4,166,465 to 4,256,225","21.0","20.8","21.2","20.8 to 21.2","$48,451","$48,369","$48,533","$48,369 to $48,533"
"2004","00","00000","United States","290,616,537","37,039,804","36,359,662","37,719,946","36,359,662 to 37,719,946","12.7","12.5","13.0","12.5 to 13.0","73,241,407","13,041,492","12,694,086","13,388,898","12,694,086 to 13,388,898","17.8","17.3","18.3","17.3 to 18.3","52,159,407","8,430,886","8,142,299","8,719,473","8,142,299 to 8,719,473","16.2","15.6","16.7","15.6 to 16.7","20,121,433","4,123,715","3,917,910","4,329,520","3,917,910 to 4,329,520","20.5","19.5","21.5","19.5 to 21.5","$44,334","$44,012","$44,656","$44,012 to $44,656"
"2003","00","00000","United States","287,699,184","35,861,170","35,190,401","36,531,939","35,190,401 to 36,531,939","12.5","12.2","12.7","12.2 to 12.7","72,999,159","12,865,806","12,519,657","13,211,955","12,519,657 to 13,211,955","17.6","17.2","18.1","17.2 to 18.1","52,278,842","8,399,573","8,111,130","8,688,016","8,111,130 to 8,688,016","16.1","15.5","16.6","15.5 to 16.6","19,763,309","4,021,366","3,817,517","4,225,215","3,817,517 to 4,225,215","20.3","19.3","21.4","19.3 to 21.4","$43,318","$43,009","$43,627","$43,009 to $43,627"
"2005","00","00000","United States","287,270,432","38,231,474","37,934,924","38,528,024","37,934,924 to 38,528,024","13.3","13.2","13.4","13.2 to 13.4","72,023,983","13,360,273","13,217,771","13,502,775","13,217,771 to 13,502,775","18.5","18.4","18.7","18.4 to 18.7","51,658,744","8,765,541","8,662,789","8,868,293","8,662,789 to 8,868,293","17.0","16.8","17.2","16.8 to 17.2","19,959,312","4,242,948","4,187,205","4,298,691","4,187,205 to 4,298,691","21.3","21.0","21.5","21.0 to 21.5","$46,242","$46,138","$46,346","$46,138 to $46,346"
"2002","00","00000","United States","285,317,346","34,569,951","33,912,173","35,227,729","33,912,173 to 35,227,729","12.1","11.9","12.3","11.9 to 12.3","72,695,775","12,132,645","11,795,343","12,469,947","11,795,343 to 12,469,947","16.7","16.2","17.2","16.2 to 17.2","52,168,584","8,004,514","7,722,500","8,286,528","7,722,500 to 8,286,528","15.3","14.8","15.9","14.8 to 15.9","19,594,188","3,727,193","3,530,466","3,923,920","3,530,466 to 3,923,920","19.0","18.0","20.0","18.0 to 20.0","$42,409","$42,180","$42,638","$42,180 to $42,638"
"2001","00","00000","United States","281,474,939","32,906,511","32,262,565","33,550,457","32,262,565 to 33,550,457","11.7","11.5","11.9","11.5 to 11.9","72,020,548","11,732,684","11,403,410","12,061,958","11,403,410 to 12,061,958","16.3","15.8","16.7","15.8 to 16.7","51,820,491","7,662,294","7,387,461","7,937,127","7,387,461 to 7,937,127","14.8","14.3","15.3","14.3 to 15.3","19,257,993","3,575,879","3,383,307","3,768,451","3,383,307 to 3,768,451","18.6","17.6","19.6","17.6 to 19.6","$42,228","$42,016","$42,440","$42,016 to $42,440"
"2000","00","00000","United States","278,944,452","31,581,086","30,695,361","32,466,811","30,695,361 to 32,466,811","11.3","11.0","11.6","11.0 to 11.6","71,741,141","11,587,118","11,127,838","12,046,398","11,127,838 to 12,046,398","16.2","15.5","16.8","15.5 to 16.8","51,548,879","7,536,575","7,154,100","7,919,050","7,154,100 to 7,919,050","14.6","13.9","15.4","13.9 to 15.4","19,181,906","3,583,098","3,312,911","3,853,285","3,312,911 to 3,853,285","18.7","17.3","20.1","17.3 to 20.1","$41,990","$41,773","$42,207","$41,773 to $42,207"
"1999","00","00000","United States","276,207,757","32,791,272","31,891,000","33,691,544","31,891,000 to 33,691,544","11.9","11.5","12.2","11.5 to 12.2","71,684,956","12,280,321","11,810,623","12,750,019","11,810,623 to 12,750,019","17.1","16.5","17.8","16.5 to 17.8","51,642,359","8,188,068","7,791,630","8,584,506","7,791,630 to 8,584,506","15.9","15.1","16.6","15.1 to 16.6","18,968,750","3,594,416","3,323,894","3,864,938","3,323,894 to 3,864,938","18.9","17.5","20.4","17.5 to 20.4","$40,696","$40,383","$41,009","$40,383 to $41,009"
"1998","00","00000","United States","271,059,449","34,475,762","33,555,896","35,395,628","33,555,896 to 35,395,628","12.7","12.4","13.1","12.4 to 13.1","71,338,364","13,466,544","12,979,586","13,953,502","12,979,586 to 13,953,502","18.9","18.2","19.6","18.2 to 19.6","51,060,953","8,922,935","8,511,476","9,334,394","8,511,476 to 9,334,394","17.5","16.7","18.3","16.7 to 18.3","19,382,484","4,038,584","3,752,962","4,324,206","3,752,962 to 4,324,206","20.8","19.4","22.3","19.4 to 22.3","$38,885","$38,507","$39,263","$38,507 to $39,263"
"2017","12","12000","Florida","20,569,893","2,901,876","2,860,804","2,942,948","2,860,804 to 2,942,948","14.1","13.9","14.3","13.9 to 14.3","4,138,314","850,924","829,310","872,538","829,310 to 872,538","20.6","20.1","21.1","20.1 to 21.1","3,007,194","589,055","570,357","607,753","570,357 to 607,753","19.6","19.0","20.2","19.0 to 20.2","1,111,440","244,308","234,289","254,327","234,289 to 254,327","22.0","21.1","22.9","21.1 to 22.9","$52,582","$52,221","$52,943","$52,221 to $52,943"
"2016","12","12000","Florida","20,191,307","2,986,237","2,947,397","3,025,077","2,947,397 to 3,025,077","14.8","14.6","15.0","14.6 to 15.0","4,082,318","869,892","848,431","891,353","848,431 to 891,353","21.3","20.8","21.8","20.8 to 21.8","2,961,031","594,181","575,167","613,195","575,167 to 613,195","20.1","19.5","20.7","19.5 to 20.7","1,102,952","259,244","249,470","269,018","249,470 to 269,018","23.5","22.6","24.4","22.6 to 24.4","$50,857","$50,616","$51,098","$50,616 to $51,098"
"2015","12","12000","Florida","19,850,025","3,129,061","3,091,403","3,166,719","3,091,403 to 3,166,719","15.8","15.6","16.0","15.6 to 16.0","4,036,757","944,415","923,958","964,872","923,958 to 964,872","23.4","22.9","23.9","22.9 to 23.9","2,941,155","646,658","628,795","664,521","628,795 to 664,521","22.0","21.4","22.6","21.4 to 22.6","1,077,177","280,519","270,976","290,062","270,976 to 290,062","26.0","25.1","26.9","25.1 to 26.9","$49,416","$49,087","$49,745","$49,087 to $49,745"
"2014","12","12000","Florida","19,470,220","3,231,142","3,187,670","3,274,614","3,187,670 to 3,274,614","16.6","16.4","16.8","16.4 to 16.8","3,984,878","962,857","940,621","985,093","940,621 to 985,093","24.2","23.6","24.8","23.6 to 24.8","2,908,298","666,307","647,128","685,486","647,128 to 685,486","22.9","22.2","23.6","22.2 to 23.6","1,059,875","280,898","270,364","291,432","270,364 to 291,432","26.5","25.5","27.5","25.5 to 27.5","$47,439","$47,113","$47,765","$47,113 to $47,765"
"2013","12","12000","Florida","19,129,965","3,268,130","3,223,891","3,312,369","3,223,891 to 3,312,369","17.1","16.9","17.3","16.9 to 17.3","3,953,274","982,272","957,786","1,006,758","957,786 to 1,006,758","24.8","24.2","25.4","24.2 to 25.4","2,881,447","678,022","655,790","700,254","655,790 to 700,254","23.5","22.7","24.3","22.7 to 24.3","1,053,542","287,163","276,992","297,334","276,992 to 297,334","27.3","26.3","28.3","26.3 to 28.3","$46,021","$45,714","$46,328","$45,714 to $46,328"
"2012","12","12000","Florida","18,912,451","3,248,276","3,212,223","3,284,329","3,212,223 to 3,284,329","17.2","17.0","17.4","17.0 to 17.4","3,944,810","1,011,096","989,296","1,032,896","989,296 to 1,032,896","25.6","25.0","26.2","25.0 to 26.2","2,873,933","693,284","673,522","713,046","673,522 to 713,046","24.1","23.4","24.8","23.4 to 24.8","1,052,557","300,437","291,986","308,888","291,986 to 308,888","28.5","27.7","29.3","27.7 to 29.3","$45,006","$44,664","$45,348","$44,664 to $45,348"
"2011","12","12000","Florida","18,652,058","3,178,155","3,138,992","3,217,318","3,138,992 to 3,217,318","17.0","16.8","17.2","16.8 to 17.2","3,932,909","985,615","964,099","1,007,131","964,099 to 1,007,131","25.1","24.6","25.6","24.6 to 25.6","2,859,492","670,753","653,062","688,444","653,062 to 688,444","23.5","22.9","24.1","22.9 to 24.1","1,057,900","299,201","287,545","310,857","287,545 to 310,857","28.3","27.2","29.4","27.2 to 29.4","$44,250","$43,850","$44,650","$43,850 to $44,650"
"2010","12","12000","Florida","18,436,765","3,048,621","3,014,414","3,082,828","3,014,414 to 3,082,828","16.5","16.3","16.7","16.3 to 16.7","3,938,186","929,620","909,688","949,552","909,688 to 949,552","23.6","23.1","24.1","23.1 to 24.1","2,864,957","628,165","611,525","644,805","611,525 to 644,805","21.9","21.3","22.5","21.3 to 22.5","1,054,588","284,672","274,753","294,591","274,753 to 294,591","27.0","26.1","27.9","26.1 to 27.9","$44,390","$44,071","$44,709","$44,071 to $44,709"
"2009","12","12000","Florida","18,124,831","2,712,692","2,679,143","2,746,241","2,679,143 to 2,746,241","15.0","14.8","15.2","14.8 to 15.2","3,991,262","857,326","837,561","877,092","837,561 to 877,092","21.5","21.0","22.0","21.0 to 22.0","2,830,566","556,711","539,315","574,107","539,315 to 574,107","19.7","19.1","20.3","19.1 to 20.3","1,143,181","284,323","274,555","294,091","274,555 to 294,091","24.9","24.0","25.7","24.0 to 25.7","$44,755","$44,468","$45,041","$44,468 to $45,041"
"2008","12","12000","Florida","17,923,499","2,375,225","2,342,192","2,408,259","2,342,192 to 2,408,259","13.3","13.1","13.4","13.1 to 13.4","3,941,602","726,383","709,162","743,603","709,162 to 743,603","18.4","18.0","18.9","18.0 to 18.9","2,807,852","469,407","455,184","483,630","455,184 to 483,630","16.7","16.2","17.2","16.2 to 17.2","1,117,342","242,402","232,723","252,082","232,723 to 252,082","21.7","20.8","22.6","20.8 to 22.6","$47,802","$47,454","$48,149","$47,454 to $48,149"
"2007","12","12000","Florida","17,846,784","2,167,111","2,137,570","2,196,653","2,137,570 to 2,196,653","12.1","12.0","12.3","12.0 to 12.3","3,970,922","685,647","667,311","703,982","667,311 to 703,982","17.3","16.8","17.7","16.8 to 17.7","2,821,190","437,055","420,567","453,543","420,567 to 453,543","15.5","14.9","16.1","14.9 to 16.1","1,124,188","225,870","216,943","234,797","216,943 to 234,797","20.1","19.3","20.9","19.3 to 20.9","$47,804","$47,468","$48,140","$47,468 to $48,140"
"2006","12","12000","Florida","17,686,243","2,232,534","2,201,543","2,263,526","2,201,543 to 2,263,526","12.6","12.4","12.8","12.4 to 12.8","3,948,256","695,303","677,399","713,207","677,399 to 713,207","17.6","17.2","18.1","17.2 to 18.1","2,820,879","448,742","432,743","464,741","432,743 to 464,741","15.9","15.3","16.5","15.3 to 16.5","1,102,065","224,402","216,160","232,643","216,160 to 232,643","20.4","19.6","21.1","19.6 to 21.1","$45,494","$45,250","$45,739","$45,250 to $45,739"
"2004","12","12000","Florida","17,434,082","2,074,997","1,955,732","2,194,262","1,955,732 to 2,194,262","11.9","11.2","12.6","11.2 to 12.6","4,046,002","699,280","638,967","759,593","638,967 to 759,593","17.3","15.8","18.8","15.8 to 18.8","2,863,259","447,172","394,902","499,442","394,902 to 499,442","15.6","13.8","17.4","13.8 to 17.4","1,103,442","221,598","192,720","250,475","192,720 to 250,475","20.1","17.5","22.7","17.5 to 22.7","$40,900","$39,691","$42,109","$39,691 to $42,109"
"2005","12","12000","Florida","17,308,815","2,220,829","2,186,876","2,254,782","2,186,876 to 2,254,782","12.8","12.6","13.0","12.6 to 13.0","3,976,592","719,164","700,137","738,192","700,137 to 738,192","18.1","17.6","18.6","17.6 to 18.6","2,858,611","474,430","458,029","490,831","458,029 to 490,831","16.6","16.0","17.2","16.0 to 17.2","1,094,571","225,415","215,411","235,419","215,411 to 235,419","20.6","19.7","21.5","19.7 to 21.5","$42,437","$42,169","$42,705","$42,169 to $42,705"
"2003","12","12000","Florida","17,028,820","2,219,257","2,116,332","2,322,182","2,116,332 to 2,322,182","13.0","12.4","13.6","12.4 to 13.6","3,977,910","770,946","721,788","820,103","721,788 to 820,103","19.4","18.1","20.6","18.1 to 20.6","2,842,050","512,261","474,572","549,950","474,572 to 549,950","18.0","16.7","19.4","16.7 to 19.4","1,069,849","230,021","199,469","260,573","199,469 to 260,573","21.5","18.6","24.4","18.6 to 24.4","$38,985","$37,809","$40,160","$37,809 to $40,160"
"2002","12","12000","Florida","16,684,871","2,137,435","2,035,530","2,239,339","2,035,530 to 2,239,339","12.8","12.2","13.4","12.2 to 13.4","3,899,615","689,303","639,261","739,345","639,261 to 739,345","17.7","16.4","19.0","16.4 to 19.0","2,799,200","461,273","420,439","502,107","420,439 to 502,107","16.5","15.0","17.9","15.0 to 17.9","1,045,990","206,679","178,924","234,434","178,924 to 234,434","19.8","17.1","22.4","17.1 to 22.4","$38,226","$36,956","$39,495","$36,956 to $39,495"
"2001","12","12000","Florida","16,306,747","2,048,082","1,955,651","2,140,514","1,955,651 to 2,140,514","12.6","12.0","13.1","12.0 to 13.1","3,813,136","716,009","661,275","770,742","661,275 to 770,742","18.8","17.3","20.2","17.3 to 20.2","2,730,693","466,522","418,913","514,131","418,913 to 514,131","17.1","15.3","18.8","15.3 to 18.8","1,011,506","215,886","192,611","239,162","192,611 to 239,162","21.3","19.0","23.6","19.0 to 23.6","$37,319","$36,094","$38,543","$36,094 to $38,543"
"2000","12","12000","Florida","16,002,039","1,877,399","1,782,915","1,971,883","1,782,915 to 1,971,883","11.7","11.1","12.3","11.1 to 12.3","3,748,442","663,855","616,490","711,221","616,490 to 711,221","17.7","16.4","19.0","16.4 to 19.0","2,656,195","427,487","386,487","468,487","386,487 to 468,487","16.1","14.6","17.6","14.6 to 17.6","994,725","197,986","173,081","222,890","173,081 to 222,890","19.9","17.4","22.4","17.4 to 22.4","$38,784","$37,450","$40,118","$37,450 to $40,118"
"1999","12","12000","Florida","15,690,191","1,939,545","1,830,183","2,048,906","1,830,183 to 2,048,906","12.4","11.7","13.1","11.7 to 13.1","3,625,467","669,455","602,443","736,466","602,443 to 736,466","18.5","16.6","20.3","16.6 to 20.3","2,577,387","446,976","389,047","504,905","389,047 to 504,905","17.3","15.1","19.6","15.1 to 19.6","942,071","183,865","152,326","215,404","152,326 to 215,404","19.5","16.2","22.9","16.2 to 22.9","$36,309","$35,241","$37,377","$35,241 to $37,377"
"1998","12","12000","Florida","15,022,569","2,040,634","1,931,101","2,150,168","1,931,101 to 2,150,168","13.6","12.9","14.3","12.9 to 14.3","3,619,641","791,489","725,207","857,770","725,207 to 857,770","21.9","20.0","23.7","20.0 to 23.7","2,572,782","514,269","455,985","572,553","455,985 to 572,553","20.0","17.7","22.3","17.7 to 22.3","985,518","243,939","212,658","275,219","212,658 to 275,219","24.8","21.6","27.9","21.6 to 27.9","$34,757","$33,569","$35,944","$33,569 to $35,944"
"1997","00","00000","United States","NA","35,573,858","34,643,448","36,504,268","34,643,448 to 36,504,268","13.3","12.9","13.6","12.9 to 13.6","NA","14,113,067","13,617,857","14,608,277","13,617,857 to 14,608,277","19.9","19.2","20.6","19.2 to 20.6","NA","9,306,705","8,877,168","9,736,242","8,877,168 to 9,736,242","18.4","17.6","19.3","17.6 to 19.3","NA","4,223,539","3,932,014","4,515,064","3,932,014 to 4,515,064","21.7","20.2","23.2","20.2 to 23.2","$37,005","$36,724","$37,286","$36,724 to $37,286"
"1996","00","00000","United States","NA","36,529,140","35,637,610","37,420,670","35,637,610 to 37,420,670","13.7","13.4","14.1","13.4 to 14.1","NA","14,463,480","13,990,149","14,936,811","13,990,149 to 14,936,811","20.5","19.8","21.1","19.8 to 21.1","NA","9,311,378","8,914,055","9,708,701","8,914,055 to 9,708,701","18.6","17.8","19.4","17.8 to 19.4","NA","4,582,977","4,295,266","4,870,688","4,295,266 to 4,870,688","23.4","21.9","24.9","21.9 to 24.9","$35,492","$35,198","$35,786","$35,198 to $35,786"
"1995","00","00000","United States","NA","36,424,609","35,534,124","37,315,094","35,534,124 to 37,315,094","13.8","13.5","14.1","13.5 to 14.1","NA","14,665,019","14,189,284","15,140,754","14,189,284 to 15,140,754","20.8","20.1","21.5","20.1 to 21.5","NA","9,306,018","8,908,791","9,703,245","8,908,791 to 9,703,245","18.7","17.9","19.5","17.9 to 19.5","NA","4,816,366","4,522,061","5,110,671","4,522,061 to 5,110,671","24.2","22.7","25.6","22.7 to 25.6","$34,076","$33,752","$34,400","$33,752 to $34,400"
"1993","00","00000","United States","NA","39,264,811","38,346,811","40,182,811","38,346,811 to 40,182,811","15.1","14.8","15.5","14.8 to 15.5","NA","15,727,492","15,239,667","16,215,317","15,239,667 to 16,215,317","22.7","22.0","23.4","22.0 to 23.4","NA","9,814,133","9,407,946","10,220,320","9,407,946 to 10,220,320","20.4","19.6","21.3","19.6 to 21.3","NA","5,367,476","5,064,223","5,670,729","5,064,223 to 5,670,729","26.5","25.0","28.0","25.0 to 28.0","$31,241","$31,001","$31,481","$31,001 to $31,481"
"1989","00","00000","United States","NA","31,528,020","30,689,524","32,366,516","30,689,524 to 32,366,516","12.8","12.5","13.2","12.5 to 13.2","NA","12,589,930","12,140,795","13,039,065","12,140,795 to 13,039,065","19.6","18.9","20.3","18.9 to 20.3","NA","7,917,622","7,546,986","8,288,258","7,546,986 to 8,288,258","17.7","16.9","18.6","16.9 to 18.6","NA","4,083,407","3,810,572","4,356,242","3,810,572 to 4,356,242","21.7","20.2","23.1","20.2 to 23.1","$28,906","$28,644","$29,168","$28,644 to $29,168"
"1997","12","12000","Florida","NA","2,129,825","2,016,500","2,243,149","2,016,500 to 2,243,149","14.4","13.6","15.1","13.6 to 15.1","NA","775,812","714,830","836,794","714,830 to 836,794","21.8","20.0","23.5","20.0 to 23.5","NA","510,443","457,811","563,075","457,811 to 563,075","20.0","17.9","22.1","17.9 to 22.1","NA","234,440","206,124","262,756","206,124 to 262,756","24.1","21.2","27.0","21.2 to 27.0","$32,877","$31,748","$34,006","$31,748 to $34,006"
