"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2017","00","00000","United States","317,741,588","42,583,651","42,342,619","42,824,683","42,342,619 to 42,824,683","13.4","13.3","13.5","13.3 to 13.5","72,452,925","13,353,202","13,229,339","13,477,065","13,229,339 to 13,477,065","18.4","18.2","18.6","18.2 to 18.6","52,669,201","9,120,503","9,033,090","9,207,916","9,033,090 to 9,207,916","17.3","17.1","17.5","17.1 to 17.5","19,457,844","3,932,969","3,880,645","3,985,293","3,880,645 to 3,985,293","20.2","19.9","20.5","19.9 to 20.5","$60,336","$60,250","$60,422","$60,250 to $60,422"
"2016","00","00000","United States","315,165,470","44,268,996","44,022,086","44,515,906","44,022,086 to 44,515,906","14.0","13.9","14.1","13.9 to 14.1","72,452,603","14,115,713","13,976,345","14,255,081","13,976,345 to 14,255,081","19.5","19.3","19.7","19.3 to 19.7","52,644,648","9,648,486","9,548,767","9,748,205","9,548,767 to 9,748,205","18.3","18.1","18.5","18.1 to 18.5","19,473,767","4,156,949","4,108,397","4,205,501","4,108,397 to 4,205,501","21.3","21.1","21.5","21.1 to 21.5","$57,617","$57,502","$57,732","$57,502 to $57,732"
"2015","00","00000","United States","313,476,400","46,153,077","45,878,016","46,428,138","45,878,016 to 46,428,138","14.7","14.6","14.8","14.6 to 14.8","72,454,786","15,000,273","14,862,975","15,137,571","14,862,975 to 15,137,571","20.7","20.5","20.9","20.5 to 20.9","52,635,679","10,245,028","10,145,484","10,344,572","10,145,484 to 10,344,572","19.5","19.3","19.7","19.3 to 19.7","19,489,402","4,448,211","4,397,105","4,499,317","4,397,105 to 4,499,317","22.8","22.5","23.1","22.5 to 23.1","$55,775","$55,690","$55,860","$55,690 to $55,860"
"2014","00","00000","United States","310,899,910","48,208,387","47,966,830","48,449,944","47,966,830 to 48,449,944","15.5","15.4","15.6","15.4 to 15.6","72,386,485","15,686,012","15,564,145","15,807,879","15,564,145 to 15,807,879","21.7","21.5","21.9","21.5 to 21.9","52,594,799","10,714,518","10,632,252","10,796,784","10,632,252 to 10,796,784","20.4","20.2","20.6","20.2 to 20.6","19,453,155","4,658,187","4,609,104","4,707,270","4,609,104 to 4,707,270","23.9","23.7","24.1","23.7 to 24.1","$53,657","$53,564","$53,750","$53,564 to $53,750"
"2013","00","00000","United States","308,196,783","48,810,868","48,554,692","49,067,044","48,554,692 to 49,067,044","15.8","15.7","15.9","15.7 to 15.9","72,382,173","16,086,960","15,948,844","16,225,076","15,948,844 to 16,225,076","22.2","22.0","22.4","22.0 to 22.4","52,605,987","10,958,232","10,860,529","11,055,935","10,860,529 to 11,055,935","20.8","20.6","21.0","20.6 to 21.0","19,438,875","4,811,689","4,759,374","4,864,004","4,759,374 to 4,864,004","24.8","24.5","25.1","24.5 to 25.1","$52,250","$52,185","$52,315","$52,185 to $52,315"
"2012","00","00000","United States","306,086,063","48,760,123","48,528,543","48,991,703","48,528,543 to 48,991,703","15.9","15.8","16.0","15.8 to 16.0","72,605,436","16,396,863","16,275,868","16,517,858","16,275,868 to 16,517,858","22.6","22.4","22.8","22.4 to 22.8","52,675,863","11,086,537","10,995,403","11,177,671","10,995,403 to 11,177,671","21.0","20.8","21.2","20.8 to 21.2","19,611,275","5,014,970","4,971,692","5,058,248","4,971,692 to 5,058,248","25.6","25.4","25.8","25.4 to 25.8","$51,371","$51,318","$51,424","$51,318 to $51,424"
"2011","00","00000","United States","303,778,193","48,452,035","48,217,869","48,686,201","48,217,869 to 48,686,201","15.9","15.8","16.0","15.8 to 16.0","72,802,773","16,386,500","16,262,247","16,510,753","16,262,247 to 16,510,753","22.5","22.3","22.7","22.3 to 22.7","52,708,799","10,976,987","10,882,675","11,071,299","10,882,675 to 11,071,299","20.8","20.6","21.0","20.6 to 21.0","19,772,854","5,110,087","5,061,357","5,158,817","5,061,357 to 5,158,817","25.8","25.6","26.0","25.6 to 26.0","$50,502","$50,429","$50,575","$50,429 to $50,575"
"2010","00","00000","United States","301,535,021","46,215,956","45,975,650","46,456,262","45,975,650 to 46,456,262","15.3","15.2","15.4","15.2 to 15.4","73,024,577","15,749,129","15,621,395","15,876,863","15,621,395 to 15,876,863","21.6","21.4","21.8","21.4 to 21.8","52,872,735","10,484,513","10,394,015","10,575,011","10,394,015 to 10,575,011","19.8","19.6","20.0","19.6 to 20.0","19,822,633","4,961,524","4,910,772","5,012,276","4,910,772 to 5,012,276","25.0","24.8","25.2","24.8 to 25.2","$50,046","$49,982","$50,110","$49,982 to $50,110"
"2009","00","00000","United States","299,026,555","42,868,163","42,631,574","43,104,752","42,631,574 to 43,104,752","14.3","14.3","14.4","14.3 to 14.4","73,347,404","14,656,962","14,526,159","14,787,765","14,526,159 to 14,787,765","20.0","19.8","20.2","19.8 to 20.2","52,143,306","9,509,142","9,419,830","9,598,454","9,419,830 to 9,598,454","18.2","18.1","18.4","18.1 to 18.4","20,878,285","4,849,988","4,792,377","4,907,599","4,792,377 to 4,907,599","23.2","23.0","23.5","23.0 to 23.5","$50,221","$50,147","$50,295","$50,147 to $50,295"
"2008","00","00000","United States","296,184,480","39,108,422","38,858,742","39,358,102","38,858,742 to 39,358,102","13.2","13.1","13.3","13.1 to 13.3","72,825,003","13,240,870","13,115,296","13,366,444","13,115,296 to 13,366,444","18.2","18.0","18.4","18.0 to 18.4","51,864,080","8,549,526","8,469,455","8,629,597","8,469,455 to 8,629,597","16.5","16.3","16.6","16.3 to 16.6","20,602,241","4,369,698","4,311,741","4,427,655","4,311,741 to 4,427,655","21.2","20.9","21.5","20.9 to 21.5","$52,029","$51,956","$52,102","$51,956 to $52,102"
